Name                                                                                                          Stmts   Miss  Cover
---------------------------------------------------------------------------------------------------------------------------------
/Users/editflores/editf-github/dd2480/DD2480-sympy/conftest.py                                                   42     10    76%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/__init__.py                                             53      4    92%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/abc.py                                                  37      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/algebras/__init__.py                                     2      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/algebras/quaternion.py                                 382    293    23%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/assumptions/__init__.py                                  5      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/assumptions/ask.py                                     311    185    41%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/assumptions/ask_generated.py                             9      2    78%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/assumptions/assume.py                                  177    117    34%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/assumptions/cnf.py                                     270    197    27%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/assumptions/refine.py                                  165    139    16%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/assumptions/relation/__init__.py                         2      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/assumptions/relation/binrel.py                          95     65    32%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/assumptions/wrapper.py                                  63     15    76%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/calculus/__init__.py                                     6      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/calculus/accumulationbounds.py                         364    209    43%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/calculus/euler.py                                       34     26    24%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/calculus/finite_diff.py                                 82     72    12%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/calculus/singularities.py                               51     27    47%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/calculus/util.py                                       276    154    44%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/codegen/__init__.py                                      2      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/codegen/ast.py                                         548    251    54%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/combinatorics/__init__.py                               13      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/combinatorics/free_groups.py                           501    397    21%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/combinatorics/generators.py                            152    142     7%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/combinatorics/graycode.py                               95     70    26%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/combinatorics/group_constructs.py                       29     24    17%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/combinatorics/named_groups.py                          117    105    10%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/combinatorics/partitions.py                            246    201    18%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/combinatorics/pc_groups.py                             220    196    11%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/combinatorics/perm_groups.py                          2114   1922     9%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/combinatorics/permutations.py                          792    560    29%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/combinatorics/polyhedron.py                            112     65    42%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/combinatorics/prufer.py                                150    116    23%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/combinatorics/subsets.py                               154    109    29%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/combinatorics/tensor_can.py                            400    376     6%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/combinatorics/util.py                                  151    138     9%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/concrete/__init__.py                                     3      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/concrete/delta.py                                      144    119    17%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/concrete/expr_with_intlimits.py                         76     52    32%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/concrete/expr_with_limits.py                           292     84    71%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/concrete/gosper.py                                      81     75     7%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/concrete/products.py                                   213     99    54%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/concrete/summations.py                                 808    564    30%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/conftest.py                                             50     17    66%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/__init__.py                                        27      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/_print_helpers.py                                  14      4    71%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/add.py                                            744    106    86%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/alphabets.py                                        1      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/assumptions.py                                    156     31    80%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/assumptions_generated.py                            6      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/basic.py                                          750    134    82%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/cache.py                                          113     50    56%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/containers.py                                     170     60    65%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/core.py                                             8      1    88%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/coreerrors.py                                       2      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/decorators.py                                      70      8    89%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/evalf.py                                         1007    225    78%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/expr.py                                          1714    520    70%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/exprtools.py                                      779    346    56%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/facts.py                                          289    172    40%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/function.py                                      1197    370    69%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/kind.py                                           120     68    43%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/logic.py                                          199    104    48%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/mod.py                                            155     46    70%
